Area_type,Availability,Location,No of rooms (BHK),Society,Total_sqft,No of bathrooms,Balcony,Price (in Lakhs)
Plot  Area,Ready To Move,Kadugondanahalli,4,,915,4,1,54.9
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6,,3000,8,3,451
Super built-up  Area,Ready To Move,Seegehalli,3,,1150,2,2,42.9
Built-up  Area,Ready To Move,Hebbal,4,RMudeat,3900,4,2,410
Built-up  Area,Ready To Move,Yeshwanthpur,5,,850,4,2,90
Super built-up  Area,Not yet Ready,Kanakapura,2,,929,2,1,46
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6,,2400,8,3,450
Plot  Area,Ready To Move,TC Palaya,3,,1350,2,1,75
Super built-up  Area,Ready To Move,Vasanthapura,2,,1135,2,1,39.73
Built-up  Area,Ready To Move,Basava Nagar,2,Saarea ,1405,2,2,70
Plot  Area,Not yet Ready,Whitefield,2,,1200,2,1,45.84
Super built-up  Area,Not yet Ready,Haralur Road,4,SNnia E,2805,4,3,154
Super built-up  Area,Ready To Move,Yeshwanthpur,2,IBityin,1161,2,2,64.08
Super built-up  Area,Not yet Ready,Kanakpura Road,2,Soena A,1290,2,3,74
Super built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,2557,3,2,141
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3,Raaden ,1480,3,2,90
Plot  Area,Ready To Move,BTM 1st Stage,9,Srvasks,3300,14,,500
Super built-up  Area,Not yet Ready,Old Madras Road,3,SheldGr,1350,3,0,54.54
Super built-up  Area,Ready To Move,Kadugodi,3,MSingco,1580,2,2,65
Super built-up  Area,Not yet Ready,Banashankari,3,,1470,2,1,88.64
Super built-up  Area,Not yet Ready,Ananth Nagar,1,,500,1,1,14
Super built-up  Area,Not yet Ready,Sarjapur  Road,2,PualeSk,1346,2,1,61.92
Super built-up  Area,Ready To Move,Canara Bank Layout,3,,1600,3,3,90
Super built-up  Area,Ready To Move,Naganathapura,2,,720,2,1,120
Plot  Area,Not yet Ready,Narasapura,2,,3000,2,2,29.5
Plot  Area,Ready To Move,Manjunath Nagar,4,,1200,4,0,135
Super built-up  Area,Ready To Move,Basapura,2,RMncy R,1200,2,2,35
Built-up  Area,Ready To Move,Channasandra,3,Pritehi,1340,2,2,48.33
Plot  Area,Ready To Move,Devanahalli,4,Soyleif,6136,4,,560
Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,918,2,2,48
Plot  Area,Ready To Move,Singena Agrahara,3,CoiewSy,1500,3,2,115
Super built-up  Area,Ready To Move,Yelahanka,2,Velas V,1315,2,2,85
Plot  Area,Ready To Move,Sector 1 HSR Layout,4,,2400,5,,775
Super built-up  Area,Ready To Move,Uttarahalli,3,,1390,2,2,62.55
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1330,2,1,56
Built-up  Area,Ready To Move,Jalahalli,5,BrardCo,3100,4,,265
Super built-up  Area,Not yet Ready,Mango Garden Layout,3,Ceral C,1824,3,3,125
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brnia G,1420,2,2,96
Plot  Area,Ready To Move,Kacharakanahalli,1,,750,1,0,56.25
Super built-up  Area,Ready To Move,Jalahalli East,3,ShshaSa,1260,2,1,60
Super built-up  Area,Not yet Ready,Hennur Road,3,Orens G,1561,3,2,95
Plot  Area,Ready To Move,5th Phase JP Nagar,9,,812,6,3,165
Super built-up  Area,Ready To Move,"Bidere Agarahara, Behind Safal market",2,,1060,2,2,42
Plot  Area,Ready To Move,Hoodi,8,,1120,8,3,145
Super built-up  Area,Not yet Ready,Haralur Road,2,SNnia E,1225,2,1,67.38
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,2144,3,2,135
Plot  Area,Ready To Move,Kengeri,7,,1200,6,2,140
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,880,2,2,29
Super built-up  Area,Not yet Ready,Hoodi,3,GoAirej,1639,3,2,110
Built-up  Area,Ready To Move,Thanisandra,3,Pronyt ,1240,2,1,62
Super built-up  Area,Ready To Move,Kanakpura Road,2,,1500,2,2,69
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,1,46
Super built-up  Area,Ready To Move,Marathahalli,3,Aiitya ,1575,3,,78
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Kambipura,3,Prrtht ,1082,2,1,56
Super built-up  Area,Ready To Move,Konanakunte,3,,1637,3,3,73
Super built-up  Area,Ready To Move,Kanakpura Road,3,Puestol,1665,3,2,86.58
Super built-up  Area,Not yet Ready,Electronic City,2,GoontLa,1265,2,0,56.93
Super built-up  Area,Not yet Ready,Electronic City,3,KonteiT,1691,2,2,102
Super built-up  Area,Ready To Move,Thanisandra,2,SLaceda,1100,2,1,38
Built-up  Area,Ready To Move,Grihalakshmi Layout,5,,2400,2,2,150
Plot  Area,Not yet Ready,Gopalkrishna Nagar,3,,1500,3,2,62
Built-up  Area,Ready To Move,Hosakerehalli,4,Taonte ,3205,5,1,380
Built-up  Area,Ready To Move,Kammanahalli,5,,1666,4,1,150
Super built-up  Area,Ready To Move,Choodasandra,2,GRhtiru,1115,2,2,50
Super built-up  Area,Ready To Move,Mysore Road,2,Brama P,1070,2,1,45
Super built-up  Area,Ready To Move,Indira Nagar,2,Aentsbe,1128,2,2,105
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1162,2,1,57
Super built-up  Area,Ready To Move,Sai Gardens,2,Alivae ,1339,2,2,55
Super built-up  Area,Ready To Move,Mahadevpura,2,Neagar ,1192,2,2,75
Super built-up  Area,Ready To Move,Haralur Road,3,DSimaUl,1920,3,1,115
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1255,2,1,52.32
Super built-up  Area,Not yet Ready,Rajaji Nagar,2,ProdsWe,1357,2,1,115
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,3,,1600,3,2,75
Super built-up  Area,Ready To Move,Hanumanth Nagar,2,Saersel,1225,2,2,55.11
Plot  Area,Ready To Move,Whitefield,4,Saark H,2400,4,3,200
Super built-up  Area,Ready To Move,Kasturi Nagar,3,,1570,3,3,80
Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,1093,2,2,70
Built-up  Area,Ready To Move,Basaveshwara Nagar,3,Suncy R,1865,3,3,145
Plot  Area,Ready To Move,R.T. Nagar,6,,1200,7,3,165
Super built-up  Area,Ready To Move,Kaikondrahalli,2,Srsica ,1039,2,2,80
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,64.5
Super built-up  Area,Ready To Move,Whitefield,3,Suent V,1985,3,2,75
Super built-up  Area,Ready To Move,Hosakerehalli,3,APncyla,1590,3,3,49
Plot  Area,Ready To Move,Hunasamaranahalli,4,EmardBo,4000,4,2,675
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Assha A,775,2,2,38
Super built-up  Area,Ready To Move,RWF West Colony,2,PancyRe,1000,2,1,50
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,Goateds,1800,3,2,175
Super built-up  Area,Not yet Ready,Bommasandra,2,SSestth,1035,2,1,41
Super built-up  Area,Ready To Move,Dasarahalli,3,Syonyph,1520,2,1,75
Super built-up  Area,Ready To Move,Whitefield,2,BrlisCo,1360,2,1,95
Plot  Area,Ready To Move,Bileshivale,4,FeowsMe,6000,5,3,400
Super built-up  Area,Ready To Move,Kodigehaali,2,Shyas S,1117,2,2,56
Plot  Area,Ready To Move,KR Puram,4,Esnamin,1200,4,3,120
Super built-up  Area,Ready To Move,EPIP Zone,2,BrontLa,1330,2,1,92.5
Super built-up  Area,Ready To Move,Marathahalli,3,Prionad,1937,3,2,160
Super built-up  Area,Not yet Ready,Electronic City,2,Prarkun,1128,2,1,65.49
Super built-up  Area,Ready To Move,Neeladri Nagar,2,NatisAt,1053,2,1,45
Super built-up  Area,Not yet Ready,Panathur,2,Prcesvy,1198,2,1,77
Super built-up  Area,Not yet Ready,Marathahalli,2,Spows M,1152,2,1,56
Super built-up  Area,Not yet Ready,1st Block Jayanagar,6,,1200,6,2,125
Super built-up  Area,Ready To Move,Frazer Town,2,Maentr ,1625,2,1,75
Super built-up  Area,Ready To Move,Kundalahalli,3,Dieldli,1397,3,3,105
Super built-up  Area,Ready To Move,Yeshwanthpur,3,Saade E,1523,3,3,170
Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,45
Super built-up  Area,Ready To Move,Kaggalipura,1,Baowsig,700,1,0,38
Super built-up  Area,Ready To Move,Yelahanka,2,Neite T,1170,2,1,62.5
Super built-up  Area,Ready To Move,Kanakpura Road,3,Shiew T,1200,2,2,42
Built-up  Area,Ready To Move,Manayata Tech Park,3,,2400,3,2,170
Super built-up  Area,Ready To Move,Kullappa Colony,2,,1480,2,2,65
Super built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1897,3,2,120
Super built-up  Area,Ready To Move,Rachenahalli,2,,996,2,1,67
Super built-up  Area,Not yet Ready,Haralur Road,3,SNnia E,1875,3,2,110
Super built-up  Area,Ready To Move,Williams Town,3,,1500,2,2,98
Super built-up  Area,Ready To Move,Jaya Nagar East,3,Maens G,3095,3,3,350
Super built-up  Area,Ready To Move,Ambalipura,3,SJarkte,1390,2,1,175
Super built-up  Area,Not yet Ready,Yelahanka,3,Un 46th,1455,3,0,65.255
Super built-up  Area,Not yet Ready,Yelahanka,1,Prensya,697,1,0,45
Built-up  Area,Ready To Move,Sarjapur  Road,1,Shthi S,710,1,1,27
Carpet  Area,Ready To Move,Iggalur,2,VaoldMa,910,2,1,30.5
Built-up  Area,Ready To Move,Sompura,3,Suiseit,1025,2,1,48
Super built-up  Area,Not yet Ready,Magadi Road,2,Vrenty ,885,2,0,46.5
Plot  Area,Ready To Move,Harlur,4,,1200,4,,244
Super built-up  Area,Not yet Ready,Horamavu Agara,3,,1453,2,1,46.48
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Adeatlm,3335,5,2,300
Super built-up  Area,Not yet Ready,Thanisandra,2,SLityee,1093,2,0,36.435
Super built-up  Area,Ready To Move,Bellandur,2,,1281,2,1,74
Built-up  Area,Ready To Move,Cooke Town,1,,565,1,1,35
Built-up  Area,Ready To Move,Varthur,2,DSingSt,1024,2,2,42
Built-up  Area,Ready To Move,Electronic City,3,Suashen,1620,3,2,62
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1254,2,2,40
Built-up  Area,Ready To Move,Banashankari,3,Skave E,1300,2,2,75
Built-up  Area,Ready To Move,Doddakallasandra,2,,1233,2,2,43
Plot  Area,Ready To Move,Chokkanahalli,1,,1200,1,1,28
Super built-up  Area,Not yet Ready,Hosur Road,3,PuendWe,1510,2,1,105
Super built-up  Area,Ready To Move,Kaggalipura,2,Baowsig,950,2,1,65
Super built-up  Area,Ready To Move,Battarahalli,3,PaontWa,1945,3,2,97.42
Super built-up  Area,Ready To Move,Uttarahalli,2,Shierhi,1008,2,3,45
Super built-up  Area,Ready To Move,Thanisandra,3,Bhmesy ,1265,2,1,79
Super built-up  Area,Not yet Ready,Hebbal,3,Magiaya,1255,2,1,77.68
Built-up  Area,Not yet Ready,Kanakpura Road,4,PrityFa,2689,6,2,220
Built-up  Area,Ready To Move,Yelenahalli,2,,1200,2,2,46.17
Super built-up  Area,Not yet Ready,Sarjapur  Road,3,Daivon ,1403,3,3,51.63
Super built-up  Area,Ready To Move,Kudlu Gate,3,Srier P,1535,3,2,85
Plot  Area,Ready To Move,Chikkaballapur,3,,1500,3,3,100
Super built-up  Area,Ready To Move,Chamrajpet,3,SihtsHe,1475,2,2,120
Super built-up  Area,Ready To Move,Uttarahalli,3,,1390,2,2,60.47
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,,1278,2,1,53.76
Super built-up  Area,Ready To Move,VGP Layout,2,AbnceEs,1133,2,2,55
Plot  Area,Ready To Move,Classic Paradise Layout,5,,1560,5,1,145
Plot  Area,Ready To Move,Byappanahalli,5,,2900,5,2,90
Super built-up  Area,Ready To Move,Kogilu,2,,1170,2,1,51.99
Plot  Area,Ready To Move,Sahakara Nagar,3,,1200,3,3,200
Super built-up  Area,Not yet Ready,Whitefield,3,Prtates,1697,3,2,94.79
Super built-up  Area,Ready To Move,Thanisandra,3,,1651,3,3,97.38
Super built-up  Area,Ready To Move,Vasanth nagar,3,Siace P,1560,3,1,188
Super built-up  Area,Not yet Ready,Hennur Road,3,Koagati,1192,2,1,60
Built-up  Area,Ready To Move,OMBR Layout,2,,1078,2,3,65
Plot  Area,Ready To Move,Kumaraswami Layout,7,,800,7,3,105
Super built-up  Area,Ready To Move,Kasavanhalli,2,Salisal,1349,2,2,78
Plot  Area,Ready To Move,Ulsoor,9,,2300,8,1,210
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1680,3,2,120
Super built-up  Area,Ready To Move,Rayasandra,3,,1314,2,2,63
Super built-up  Area,Ready To Move,Garudachar Palya,2,,1060,2,1,48.7
Built-up  Area,Ready To Move,Kalyan nagar,2,SLnorMa,820,2,0,39
Plot  Area,Ready To Move,Whitefield,4,Skensk ,5000,4,3,400
Super built-up  Area,Ready To Move,BEML Layout,3,,2000,3,2,85
Super built-up  Area,Ready To Move,Kalkere,2,Sothin ,856,2,3,40
Super built-up  Area,Not yet Ready,Rajaji Nagar,3,Puwerun,1621,4,0,130
Plot  Area,Not yet Ready,ITPL,3,,1200,3,1,68.4
Super built-up  Area,Ready To Move,Bannerghatta Road,3,TGjraVa,1484,3,2,52.5
Plot  Area,Ready To Move,T.C. Palya,4,,600,5,2,60
Plot  Area,Ready To Move,Siddapura,4,Apavea ,1400,3,2,800
Super built-up  Area,Ready To Move,Yelahanka New Town,1,KHatsFl,500,1,1,20
Super built-up  Area,Ready To Move,Makali,1,,485,1,1,15
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1050,2,1,42
Super built-up  Area,Ready To Move,Uttarahalli,3,,1617,3,3,66.68
Built-up  Area,Ready To Move,Electronic City,2,Itelaa ,550,1,1,16
Built-up  Area,Ready To Move,RWF West Colony,3,PancyRe,1384,3,2,62.28
Super built-up  Area,Not yet Ready,Devanahalli,2,,1408,2,2,85
Built-up  Area,Ready To Move,Uttarahalli,2,Sungsha,1150,2,1,49
Super built-up  Area,Ready To Move,Akshaya Nagar,3,,1410,2,2,75
Built-up  Area,Ready To Move,Kaggadasapura,4,Adsia F,2150,4,1,100
Super built-up  Area,Ready To Move,Koramangala,3,,2292,4,1,275
Built-up  Area,Ready To Move,Malleshwaram,3,Maens G,2006,3,,297
Built-up  Area,Ready To Move,Maragondanahalli,3,ArnzaFi,1508,3,2,70.25
Built-up  Area,Ready To Move,Ramamurthy Nagar,2,Foghaa ,1040,2,2,50
Plot  Area,Ready To Move,TC Palaya,2,Lancy R,1240,2,1,60
Super built-up  Area,Ready To Move,Kudlu Gate,3,Srier P,1535,3,1,78
Built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1180,2,2,75
Built-up  Area,Ready To Move,Abbigere,6,,2200,6,2,68
Super built-up  Area,Ready To Move,Bannerghatta Road,2,SNity S,1400,2,2,78
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1,,500,1,1,25
Plot  Area,Ready To Move,Whitefield,4,Pronege,4800,4,3,525
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Puallhi,1984,4,1,146
Plot  Area,Ready To Move,Whitefield,4,VDe 1Du,3000,5,3,250
Super built-up  Area,Ready To Move,Garudachar Palya,3,BrlisMe,1960,3,3,160
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Shthi S,1035,2,1,45
Built-up  Area,Ready To Move,Vibuthipura,4,,2150,4,1,80
Built-up  Area,Ready To Move,Whitefield,3,Mithmn ,1700,3,2,115
Super built-up  Area,Ready To Move,Hosakerehalli,4,Taonte ,3024,5,1,248
Super built-up  Area,Not yet Ready,Tumkur Road,3,Sapus S,1586,3,1,100
Built-up  Area,Not yet Ready,Hennur,3,Asoilul,2264,,,155
Plot  Area,Ready To Move,Chikka Tirupathi,4,Theanmp,2325,4,1,120
Super built-up  Area,Ready To Move,Yelahanka,2,Rarthne,1120,2,2,55
Super built-up  Area,Not yet Ready,Yelahanka,3,Shalkri,1884,,,67.98
Super built-up  Area,Ready To Move,Sarjapur  Road,2,CharkGr,1128,2,2,59
Plot  Area,Ready To Move,5th Block Hbr Layout,6,,1200,6,2,250
Super built-up  Area,Ready To Move,Jigani,2,DLhtsan,924,2,2,65
Super built-up  Area,Ready To Move,Suraksha Nagar,3,AritaFe,1600,3,2,52
Super built-up  Area,Ready To Move,Pai Layout,2,,1006,2,2,35
Super built-up  Area,Ready To Move,Amruthahalli,2,Srncy R,1200,2,2,55
Super built-up  Area,Not yet Ready,Jalahalli West,2,,1250,2,1,62
Plot  Area,Ready To Move,Defence Layout,3,,1200,3,1,130
Built-up  Area,Ready To Move,Kannamangala,2,VBownre,957,2,1,56
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1140,2,2,41
Super built-up  Area,Ready To Move,Roopena Agrahara,2,RortsCo,1050,2,1,67
Super built-up  Area,Ready To Move,Kasturi Nagar,3,,1565,3,2,88.5
Super built-up  Area,Ready To Move,Whitefield,2,GClmsun,1190,2,3,57
Built-up  Area,Not yet Ready,Whitefield,3,,2842,3,2,162
Built-up  Area,Ready To Move,Kanakpura Road,3,SoapeSu,1558.67,2,2,65
Super built-up  Area,Ready To Move,Electronics City Phase 1,1,,630,1,1,39
Super built-up  Area,Ready To Move,Whitefield,3,Iseenst,1403,2,2,60.81
Super built-up  Area,Ready To Move,Kanakpura Road,3,SLourle,1542,2,3,85
Built-up  Area,Ready To Move,Haralur Road,4,IDlleri,2750,4,0,220
Super built-up  Area,Ready To Move,Iblur Village,4,Emine P,3596,5,1,290
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3,,1635,2,,78
Super built-up  Area,Ready To Move,Mysore Road,2,,1239,2,1,53
Super built-up  Area,Ready To Move,Haralur Road,2,,1194,2,2,47
Super built-up  Area,Ready To Move,Dooravani Nagar,3,Puceswn,1596,3,1,105
Super built-up  Area,Not yet Ready,Channasandra,2,Unm 2El,1009,2,1,38.34
Super built-up  Area,Not yet Ready,Hosa Road,3,Mahesr ,1726,3,2,81.99
Super built-up  Area,Ready To Move,Kudlu Gate,3,Srier P,1535,3,2,86
Super built-up  Area,Ready To Move,Banashankari Stage V,3,,1300,2,1,58.5
Plot  Area,Ready To Move,Whitefield,4,Adowslm,3100,4,2,465
Super built-up  Area,Ready To Move,Coconut Garden,3,,1800,3,3,80
Super built-up  Area,Not yet Ready,Binny Pete,1,Shestlo,665,1,0,50.75
Plot  Area,Ready To Move,Chamrajpet,9,,4050,7,1,1200
Plot  Area,Ready To Move,TC Palaya,3,,1500,2,1,100
Built-up  Area,Ready To Move,Kalkere,2,Sothin ,925,2,2,48
Super built-up  Area,Not yet Ready,Old Airport Road,4,Jaades ,3356,4,,251
Super built-up  Area,Ready To Move,Gollahalli,2,ArzzaRe,1395,2,1,63.59
Super built-up  Area,Ready To Move,Sonnenahalli,3,DSgam S,1415,2,1,55
Super built-up  Area,Ready To Move,Begur,3,Arera V,1419,2,2,59
Super built-up  Area,Not yet Ready,Kasavanhalli,2,Brersge,1121,2,2,78
Super built-up  Area,Ready To Move,Kambipura,3,,1082,2,1,45
Super built-up  Area,Not yet Ready,KR Puram,2,MCnexva,1100,2,1,47
Super built-up  Area,Ready To Move,Hoodi,3,Keers S,1606,3,3,89.55
Built-up  Area,Ready To Move,Billekahalli,3,,1650,3,2,88
Super built-up  Area,Ready To Move,D Souza Layout,3,Niateki,4634,4,3,1015
Super built-up  Area,Ready To Move,Old Airport Road,2,Vadel C,1206,2,3,75
Built-up  Area,Ready To Move,Sarjapur  Road,3,HIideSu,1495,2,0,64
Plot  Area,Ready To Move,Malleshwaram,8,,840,7,2,195
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,710,2,2,16
Super built-up  Area,Ready To Move,Balagere,2,,1210,2,1,72
Super built-up  Area,Ready To Move,Nagarbhavi,3,DSesthr,1523,2,2,53.4
Super built-up  Area,Ready To Move,Whitefield,2,Krine C,1232,2,2,45
Super built-up  Area,Not yet Ready,Rachenahalli,1,AsNowre,680,1,1,44
Super built-up  Area,Not yet Ready,Hebbal,3,Magiaya,1355,3,1,83.87
Super built-up  Area,Ready To Move,Thanisandra,3,MenueNo,1430,2,2,51.46
Super built-up  Area,Not yet Ready,Kothannur,3,,1275,2,2,43.85
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,56.1
Plot  Area,Ready To Move,Bettahalsoor,3,,1200,3,1,85
Plot  Area,Ready To Move,Electronic City,4,,2000,4,0,120
Super built-up  Area,Ready To Move,Bommanahalli,2,,1200,2,2,40
Super built-up  Area,Ready To Move,Marathahalli,3,SatatHa,1610,3,1,90
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1140,2,2,43
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1143,2,2,38.65
Super built-up  Area,Not yet Ready,Jakkur,4,SoineC ,3467.86,6,3,249
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,980,2,2,69
Super built-up  Area,Ready To Move,Whitefield,3,ChodsGr,1485,3,2,65
Plot  Area,Not yet Ready,Whitefield,3,WoarkEm,1500,3,1,130
Super built-up  Area,Not yet Ready,Whitefield,2,Umods W,1280,2,1,75
Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,1265,2,2,85
Built-up  Area,Not yet Ready,"ECC Road, Whitefield, ",2,,1132,2,1,67
Super built-up  Area,Ready To Move,Ashwath Nagar,2,SJcerpe,1262,2,2,63
Super built-up  Area,Ready To Move,JP Nagar,2,Maentor,940,2,1,49
Super built-up  Area,Ready To Move,Seetharampalya,3,,1515,3,3,88
Super built-up  Area,Ready To Move,Jigani,3,DLhtsan,1300,3,3,150
Built-up  Area,Ready To Move,Kothanur,3,,1840,3,1,69
Built-up  Area,Ready To Move,Electronic City,2,Itvir M,890,2,2,45
Super built-up  Area,Ready To Move,Rukmaiah Layout,3,,1655,3,2,86.06
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,2060,3,1,149
Super built-up  Area,Ready To Move,Bommanahalli,3,SNeur G,1730,3,1,96
Built-up  Area,Ready To Move,Yelahanka,3,Leilo E,2195,4,2,127
Super built-up  Area,Not yet Ready,Kathriguppe,3,,1650,3,2,125
Plot  Area,Ready To Move,KR Puram,2,,1200,2,0,71
Super built-up  Area,Not yet Ready,Hosa Road,2,,1079,2,1,32.37
Super built-up  Area,Not yet Ready,Panathur,2,Caiya D,1085,2,1,36
Built-up  Area,Ready To Move,Maruthi Sevanagar,7,,5000,7,,299
Super built-up  Area,Ready To Move,Yelahanka,2,,1075,2,1,51.5
Super built-up  Area,Not yet Ready,Devanahalli Int. Airport,2,,1380,2,1,80
Super built-up  Area,Ready To Move,Puttanahalli,3,,1450,3,1,65
Super built-up  Area,Ready To Move,Thubarahalli,2,,1200,2,2,78
Super built-up  Area,Ready To Move,Benson Town,3,,3200,4,,350
Super built-up  Area,Not yet Ready,Hoodi,3,GoAirej,1639,3,1,98.32
Super built-up  Area,Ready To Move,Jakkuru Layout,2,,1200,2,1,54
Super built-up  Area,Not yet Ready,Vijayanagar,3,Saityat,1739,3,1,116
Built-up  Area,Ready To Move,Palanahalli,4,RMaanSa,4346,5,,500
Super built-up  Area,Not yet Ready,Old Madras Road,2,Shmes O,935,2,1,32.72
Super built-up  Area,Not yet Ready, Thanisandra,1,Bhe 2ko,510,1,1,25.25
Plot  Area,Ready To Move,Devasandra Extension,6,,1200,6,3,180
Super built-up  Area,Ready To Move,Nagondanahalli,2,PrestSe,1178,2,3,47
Built-up  Area,Ready To Move,Chikkalasandra,3,Siourpl,1375,2,1,50
Super built-up  Area,Ready To Move,Chandapura,3,Halms S,1065,2,1,33
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3,,1450,2,1,50.75
Built-up  Area,Ready To Move,BEML Layout,2,,999,2,3,45
Super built-up  Area,Ready To Move,Amruthahalli,2,,4400,3,2,475
Plot  Area,Ready To Move,Marathahalli,5,,1350,4,1,135
Built-up  Area,Ready To Move,Kothannur,2,,1100,2,2,40
Super built-up  Area,Ready To Move,Koramangala,3,Wiass G,1835,2,3,155
Super built-up  Area,Not yet Ready,Hoodi,4,Caycend,2090,4,0,95.1
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1519,3,1,93
Built-up  Area,Ready To Move,Dommasandra,3,Asene S,1267,3,2,56
Super built-up  Area,Ready To Move,Sanjay nagar,2,Camesa ,1150,2,3,72.2
Super built-up  Area,Not yet Ready,Marathahalli,2,PrensKe,1146,2,1,70
Plot  Area,Not yet Ready,1st Block HRBR Layout,8,,1200,7,0,235
Built-up  Area,Ready To Move,Kannamangala,3,Marnaer,1550,3,3,65
Built-up  Area,Ready To Move,Chandapura,2,KHityry,850,1,1,18.5
Super built-up  Area,Ready To Move,Richmond Town,3,Kaestid,2200,3,,187
Built-up  Area,Ready To Move,"Sarjapur Road, ",3,,3329,3,2,330
Carpet  Area,Ready To Move,Electronics City Phase 1,1,,785,1,1,55
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,GonumPl,2900,4,,300
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,Avlya A,1610,3,2,74
Super built-up  Area,Ready To Move,Bellandur,2,Krine O,921,2,2,40
Plot  Area,Ready To Move,Kengeri Satellite Town,3,,850,3,2,95
Built-up  Area,Ready To Move,Bannerghatta Road,5,,2700,5,0,158
Super built-up  Area,Ready To Move,Sarjapur  Road,3,SocusHi,1700,3,3,110
Built-up  Area,Ready To Move,Sarjapur,2,Sondaka,1020,2,2,35
Super built-up  Area,Ready To Move,Billekahalli,2,Dintsmi,1090,2,3,52
Plot  Area,Ready To Move,Bagalur Main Road,4,,3600,4,,300
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,42.1
Super built-up  Area,Ready To Move,Doddathoguru,2,Prianhi,850,2,1,25
Built-up  Area,Ready To Move,Harlur,2,Prncyrn,1197,2,1,84
Super built-up  Area,Ready To Move,Byadarahalli,4,ETntsce,3500,3,3,450
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2,,920,2,2,39.55
Super built-up  Area,Ready To Move,Chamrajpet,9,,7161,9,1,296
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,i1rtsCo,1105,2,1,65
Super built-up  Area,Ready To Move,Yeshwanthpur,3,GoandAc,1850,3,3,100
Super built-up  Area,Not yet Ready,Judicial Layout,3,PrarePa,1300,3,1,64
Built-up  Area,Ready To Move,"Varthur Road, ",3,,1595,3,2,76
Super built-up  Area,Not yet Ready,Kodihalli,4,Priesla,3073,5,2,696
Built-up  Area,Ready To Move,Horamavu Agara,2,,755,2,1,37.49
Built-up  Area,Ready To Move,Nagasandra,5,,4050,5,2,140
Super built-up  Area,Not yet Ready,Kanakpura Road,3,,1300,2,3,69
Built-up  Area,Ready To Move,Bannerghatta Road,2,,1215,2,0,50
Super built-up  Area,Not yet Ready,Kanakpura Road,2,PrarePa,900,2,1,46
Super built-up  Area,Not yet Ready,Banashankari Stage III,2,,1145,2,3,58.4
Super built-up  Area,Ready To Move,Chikka Banaswadi,2,,1093,2,2,65
Super built-up  Area,Not yet Ready,Babusapalaya,3,,1213,2,2,41.39
Super built-up  Area,Ready To Move,Bannerghatta Road,3,PrliaRe,1654,3,2,100
Super built-up  Area,Ready To Move,NGR Layout,2,,1105,2,1,52.48
